,A2M,AGL,ALL,ALQ,ALU,ALX,AMC,AMP,ANN,ANZ,APA,APT,AST,ASX,AWC,AZJ,BEN,BHP,BLD,BOQ,BPT,BSL,BXB,CAR,CBA,CCL,CGF,CHC,CIM,COH,COL,CPU,CSL,CTX,CWN,CWY,DMP,DOW,DXS,EVN,FBU,FLT,FMG,FPH,GMG,GOZ,GPT,HVN,IAG,IEL,ILU,IPL,JBH,JHX,LLC,MFG,MGR,MPL,MQG,NAB,NCM,NST,ORG,ORI,OSH,QAN,QBE,QUB,REA,RHC,RIO,RMD,S32,SAR,SCG,SEK,SGP,SGR,SHL,SKI,SOL,SPK,STO,SUN,SVW,SYD,TAH,TCL,TLS,TPM,TWE,VCX,VEA,WBC,WES,WOR,WOW,WPL,WTC,XRO
A2M,0.002534535984369843,4.73561906975325e-05,0.00033307458735902924,0.00047113178350702387,0.001125881159490325,0.00017809751437971666,0.0003557390813134283,0.0003713870379417215,6.099976187181928e-05,0.00010371691716316041,0.00012479779776700884,-0.00010841063271327926,-5.552213003081169e-05,0.0004038992651484293,-0.00011824745767328234,2.969546870471989e-05,8.957193170946418e-06,0.00029856005145949786,0.00032190612246659937,-0.00018726093767842966,0.00010818442209462988,0.00023425791437882003,0.0003603441320500858,0.00042898490250775834,9.296554712203805e-05,0.00015361036875970416,0.00045626171091457316,0.0002756857471075783,-0.00022523785489196992,-6.355164893797676e-06,0.00014757382258100715,0.00013884328808740364,0.00020176478626570372,0.000297803831891603,5.5960737882612704e-05,0.0005983586543538482,7.128326533181254e-05,0.00020027776790077908,0.0002850277625885938,0.0002911200099225319,-1.4886332551651463e-05,8.60353075465632e-05,0.00048428507360095865,0.0004537964272412755,5.847509802224706e-05,0.00025553654179628156,2.202110211249602e-05,1.1770094717354942e-05,0.00022029227778356644,0.0008121287997496834,0.00035008328768069004,6.619333636944915e-05,7.588199572927924e-05,-8.211265493511871e-05,0.0002359959669318702,0.0005984207262483565,0.0001894912755994751,1.894458355376463e-05,0.00020372920452542745,-6.606855075605752e-05,0.00035402414394018744,0.0001910464372900197,0.00028461336869936723,-1.5761483708614636e-05,0.00036744851151735103,0.00016582650504219306,0.00012851392490244412,-3.692790965712595e-06,0.00023211072038458103,8.842628693343885e-05,0.000463779285924232,0.00026528943610862956,0.0003542611725986258,-0.00015011945305628592,-5.0613469158257855e-05,0.00015167887804323543,0.00012923856337898588,-0.0002718267275316607,0.0002754579663026422,0.000348935871846987,2.4888530131581784e-05,-0.0001344919177332988,0.0002283467543727582,0.00013097409783302728,0.0005051271982110968,3.148786929577727e-06,0.0001819165849280583,0.00032408450238137796,0.0003606053479845333,9.95221567745603e-06,0.000712271229161017,0.00011085532633209548,0.00034031948833346514,-2.5146959940140492e-06,0.00013812309223849967,0.00011876256080813527,0.00023477805072958188,0.00012837192850486466,-0.0003730456532504919,0.0002782821255413759
AGL,4.73561906975325e-05,0.0008589419792059834,0.0005107417613892856,0.0008251080281680493,0.0004581872637490146,0.0006466468163474548,0.0003524216125557089,0.00045531859059464336,0.00038902376403401336,0.0005479747713394744,0.0004924070267364145,0.0009189002534008697,0.0001929895035850119,0.00024214487562019692,0.000431826776649531,0.0003655975127842105,0.00043060978706394655,0.0003476296809954845,0.0006162923393608784,0.00033689756001509887,0.001024145049981446,0.0005274724799199584,0.00028985717753668503,0.0006608540075644496,0.0004979073675712709,0.0004965488227522413,0.0009332745652936884,0.0007541189723304488,0.0005293467284217806,0.00039171658300018265,0.0002023270752975414,0.0006768896692120351,0.00023688864902970402,0.0005123407548856222,0.0007501342779814258,0.0005344543633567203,0.0002801302581161668,0.0009296258055529091,0.0005519599387961696,0.0001897717935345749,0.00043999912098155865,0.0008964195283070991,6.111789154874156e-05,0.00021634199079654506,0.0006675350702706757,0.000613265155929054,0.0006692381654243584,0.0006663013879182088,0.0003898997856951093,0.0007862590809509605,0.00029159414990377597,0.0005475172841750469,0.0006407394493113365,0.00043413429150696123,0.0006843012364540437,0.000933070808972039,0.0005883407567570896,0.00019861347781771177,0.0006711960769977411,0.0005602561919431184,0.0001877719978275263,0.00034383572205293233,0.0008346458778096158,0.0005202055750998839,0.0010028532455822988,0.0006487784559605986,0.0006613056189915986,0.0006037279632501508,0.0004589196737013757,0.0003603698226577781,0.00020829342265580694,0.00020940159076753383,0.00039784566852475636,0.0003298184371508801,0.0009339322951800878,0.0006616445715623211,0.0008345762006736319,0.0011324279099461578,0.0003493297035020944,0.0002845960390678393,0.0004552930133292374,0.0001408153231243531,0.0010056905371090565,0.00043695919201947915,0.0005838074505326716,0.0006646369140307607,0.0004623711377488691,0.0005213251867169863,0.0001973478014070353,0.00028560506590787977,0.00027698980263510226,0.0009032072376148708,0.0003949645844279051,0.0005168789364411123,0.00046879726354033725,0.0009567747410975915,0.0003078637337015687,0.0007730431652927987,0.0005678588008512784,0.000468649855463095
ALL,0.00033307458735902924,0.0005107417613892856,0.003991906459966488,0.001778788690166775,0.0011671456240095672,0.0015450827467059394,0.00035356742335016314,0.0011084234281041087,0.001634315294663878,0.0016516803352773048,0.0005530762122500015,0.004768657582141919,-0.00021317434490576622,0.0003055747223500083,0.0013052292572212749,0.001989622034002308,0.0007553191012574456,0.0008304453649185201,0.002344964188063512,0.0006348092782521855,0.002454536475210189,0.001080810072829755,0.0005840567806937554,0.0017798922830181297,0.0011652645268874682,0.0014386356998062817,0.0029596305044060677,0.001998925862857067,0.0014258360762756139,0.0017914085642610426,-0.00028743677968190586,0.001424019699663942,0.0011392990209518554,0.001681973848624058,0.002386972803937629,0.0013739607612840612,0.0013724785594440053,0.0021834617306964147,0.0014292665736888384,0.0007107655903794694,0.0007395909726773486,0.0042437340019133695,6.450762133927343e-05,-0.00015123354480133886,0.0014516528525864295,0.0014750350155614898,0.0026396908993435186,0.0019273203260396924,0.0012083899773204698,0.0024797691722144555,0.0011785178015346208,0.0020547589751453797,0.0012305510113567615,0.0018181553651458583,0.00222986524914122,0.0024487111294229334,0.0021702099365746366,0.0005105855370308543,0.002112034924840116,0.0015090398892883465,0.0015206394480484628,0.0005434871596183982,0.0024632805870709804,0.0018000042873246474,0.00323004505549461,0.0035078425384249823,0.0019974464615515517,0.0023220587765915373,0.0014999765271304479,0.001678682789302845,0.0006356441219393428,0.0005619675239636268,0.0011467934811894922,0.0011329353403970641,0.002726704373052566,0.0016867375803448787,0.0034785628446637367,0.0038316753513480874,0.001977977567380346,-3.795290341325834e-05,0.0005858347433009572,0.0014070093135562446,0.0034765159543640764,0.0013907909059736514,0.002173585613146929,0.002184860618368855,0.0018357928196321785,0.002028982111501868,0.0008282695988291067,0.0007009283791649915,0.000345831025850128,0.002292321031871776,0.0013874559353280157,0.0013368841938102144,0.001100213523922705,0.0032758277661113543,4.780674211454904e-05,0.002452064652950509,0.0021841405627821536,0.0018906672540930534
ALQ,0.00047113178350702387,0.0008251080281680493,0.001778788690166775,0.0024271804810921094,0.0014376832980440952,0.0013368030760337489,0.0008761358358403702,0.0011911044485064617,0.0009726243297747799,0.0011454863868324173,0.0007067360423041073,0.0031043369910582585,0.00021411825992684652,0.00044988361245894444,0.0011252572282010127,0.0010537657887394712,0.0007511553608804358,0.0010982059492021079,0.0018356759788257025,0.0006221864323579596,0.002058770075924438,0.0011733300309375665,0.0006630168237454643,0.001432190453887824,0.0008315326082537282,0.0009182080239581834,0.0019316001241088962,0.0015785356211646417,0.0010529509880686603,0.0008337614276319867,0.0001288400653587944,0.0016638598506149454,0.000737837852318086,0.0015062926369722516,0.0015148215421351824,0.001135083536489754,0.0008998290411696895,0.001972454386547455,0.0010056993911491518,0.0005356017462601566,0.0006572662486327031,0.0026422181050132394,0.0007181832305774159,7.023937383529097e-05,0.0011248293581878333,0.0011408614627901807,0.001494866186301145,0.0012800674221869176,0.0007565011263353121,0.0017429928423416728,0.0010370279000204356,0.0014646194074587925,0.0008883236172812133,0.0015638526968886853,0.0016322709935021615,0.00214373271806706,0.001289724720130325,7.98336789304721e-05,0.0015485266662152296,0.0010298328277576231,0.0008338592461244056,0.0009069600549875227,0.0018563217583542032,0.0011521878268690282,0.0025528804179759915,0.002200884801114775,0.0015114228173092228,0.0015886138895153865,0.0010904268919170828,0.0008592272154288407,0.0006704197636616987,0.0006721464236144203,0.001135187206084048,0.0005366849618732233,0.001891560772279866,0.0012491377985301177,0.0016895141098424446,0.00222591345974666,0.0010184266104841216,0.0004384766165894946,0.0006975153729543087,0.0006076548142996088,0.002493219295894521,0.0010705562879863685,0.0018548178769976957,0.0014271477167374913,0.0013331236832219429,0.001241966791974085,0.0006187005661065214,0.0004813492530776342,0.0006819489975390429,0.0016294566908021467,0.0010544284377536988,0.0009218471218587951,0.0007732397114400509,0.0024405333467408413,0.000557954426019412,0.0019055678366351034,0.001309281012528985,0.001177264850708479
ALU,0.001125881159490325,0.0004581872637490146,0.0011671456240095672,0.0014376832980440952,0.003722347174815902,0.0010449467586468731,0.0006269526221354212,0.0006033360140586737,0.0008694050549137688,0.0008536986677767212,0.0008806100899486365,0.0013389697927677431,0.00028924649764468024,0.0007518950124021241,0.0006226963412478565,0.0005972072277552559,0.0007838438465092392,0.000737088367139867,0.0006941515854984485,-3.2312085315265796e-05,0.002103688609658771,0.0008320670640059606,0.0005562782635457444,0.001451615354504454,0.0007812126937855657,0.0003386426577385244,0.0012877902434650552,0.0009548517227169624,0.0007575344619059716,0.0001943384553220418,0.0002533618456490801,0.0011315462103013128,0.0005507509450974152,0.000519990708832071,0.0006560891378799225,9.204241691275022e-05,-7.740092275597615e-05,0.0010457595987965324,0.0007931164213411514,1.967632228469965e-05,0.00011499621865486359,0.001522964139572177,0.00015848918422827372,0.000390426251009057,0.0009202270325017966,0.000803225706455182,0.0009275011188309223,0.0007209122801073471,0.0005016383719553797,0.0009104042446241878,0.0006513916524741247,0.0010158438808054871,0.0005030096371601253,0.0008918876854881017,0.0013718551005482932,0.0016994470918759036,0.0008186163205268072,0.0003212775941488125,0.001059233978105229,0.000718479220547914,0.0004716713785487445,3.5499497858752806e-05,0.0011542634936891891,0.0006700669603053971,0.0016322687498179441,0.0011004565139715611,0.0008135729369225412,0.0012436801112718084,0.000760228347310809,0.000640737531759919,0.0005979582410447879,0.0005333901577293455,0.000537570354766401,-0.0006939292379173127,0.0009314277149990749,0.0010551504121191697,0.0005739505633506412,0.0010853617652299558,0.000859167041469663,0.0006901965833678459,0.0007680312477225893,4.7261836936489256e-05,0.0018328191028582404,0.0005005668969358157,0.001643297929204953,0.000960752226099644,0.001225914712828455,0.0009346740109574012,0.0005754258063826392,0.00023212281214121986,0.0006389048938194027,0.0009158217847582337,0.0006134173559945075,0.0006232965791096923,0.0008037597424250599,0.001366173308926853,0.0004576723742991785,0.0012350169440641411,0.0025299389707843524,0.001009143020435551
ALX,0.00017809751437971666,0.0006466468163474548,0.0015450827467059394,0.0013368030760337489,0.0010449467586468731,0.0017791946148735627,0.0005967552389572282,0.00032038243134646763,0.0007759111786466438,0.001003700437900228,0.0008307740442632856,0.002500995922625585,0.00024167617155984263,0.0004801409618988906,0.0005530098123985418,0.0009021837598153795,0.0006324037765314814,0.000697763707218652,0.0013160645630723635,0.0004544306836325,0.001479214731375812,0.0005285241304572606,0.0005625101228104587,0.0011578004137086755,0.0007107530528125962,0.000795012538898825,0.0016332849902567909,0.0017576100342940513,0.0005250670825688861,0.0006588960815044953,-9.490785242613439e-05,0.0011018188197417789,0.0005838488583065602,0.0010460919823844165,0.0011234405097085354,0.0008850341010286697,0.0005363757206983404,0.0015549139911034575,0.0010012906277498618,0.0009191785445547415,0.00042616410570290724,0.0022395185814633282,-7.635289334234185e-05,0.00022557323500727874,0.0010740484324894299,0.0011858539405696874,0.0016521136369960223,0.0008820736723835807,0.0007069990642963495,0.0014446969757725416,0.00068741836069826,0.0011078241644863092,0.000685221548572743,0.0011256559302740418,0.001270035571069322,0.0016779440699217186,0.0013272302573039102,0.00041231481925538103,0.0011857930722755,0.0009763461958779963,0.0012525481335873784,0.0012701147577254544,0.0013629388663228578,0.0010091962191985926,0.0019661004759528615,0.0018230920130255337,0.0011929319583605972,0.001354369423052162,0.0007950210750575824,0.0006686134867340816,0.00027099075700004694,0.0006641776517251713,0.000542097839511309,0.001457461269125415,0.0018534236150390623,0.0009880043284538605,0.0017271786152307747,0.0018448079692872273,0.0009760382731816039,0.00047071657784669675,0.00023055827454948396,0.0007562637860919945,0.00216890450392047,0.0009662813565147257,0.0010926093244742622,0.0016398585632902368,0.0009754127774126689,0.0012943281170812381,0.0005988291277532467,0.0003759364555490323,0.0002981016142701727,0.001704170822114711,0.0006357136390542164,0.0009129129192152604,0.0006068211230955105,0.0018101323802304926,0.00036235783846657867,0.00149352120104967,0.001386597329757034,0.0008237460178080915
AMC,0.0003557390813134283,0.0003524216125557089,0.00035356742335016314,0.0008761358358403702,0.0006269526221354212,0.0005967552389572282,0.00147597928567381,0.0005822908449794486,6.033429020689482e-05,0.000517949724601627,0.0005687498237553243,0.0014172965654898363,0.0003459898464977575,0.0003741301565952018,0.0004996976622795152,0.00024736282120092345,0.0004183003258826259,0.0009420622890436505,0.0008445912405883382,0.0002824830562330717,0.0006382294141348213,8.719004296456568e-06,0.0005615515649049052,0.0003729832564825935,0.0003341299336411261,0.00026895586415576363,0.000294784395426066,0.00036553823207635173,0.0006491307913977002,-0.00011554961418980982,8.074366069534678e-05,0.0008513106993424213,-6.274748802916802e-05,0.0009192565315984674,0.000669294398320811,0.0005029172158267496,-2.0663467296408585e-05,0.0007370779699167415,0.00014522066373878068,0.0002487293945126567,0.0003736380321977573,0.0007229686724627855,0.00018667092614334924,0.00042476266704941063,0.0002664343487185289,0.0002965994630821623,0.00018211067762527648,0.0003656459740642358,0.00028021306651865806,-0.000443580166868262,0.0006280365954594737,0.0007518238556936866,-0.0002235495390068982,0.00044923855897921895,0.0003665592938391978,0.0010370166392575937,0.0004318146233261756,0.00013481521978876045,0.0003552070220552859,0.00043694291866924615,0.00046369670670014235,0.0007456177880436882,0.00044462276855225785,0.0005933183647730355,0.0009277587409091524,0.001401526480916461,0.0003778280224972583,0.0005574483600512056,8.123708909587875e-05,0.00020621235055619423,0.0006226486751792501,0.00035395157018331823,0.0006057364441733144,0.0008579539779466209,0.0004457452347397472,0.0002903473526017943,0.00014525061733890762,0.0007432724898498961,2.5328104732482258e-05,0.0006322229108763708,0.00012080041031260103,0.0002649563974713981,0.001001358228567654,0.00048213825071060084,0.0007817751535682801,0.0009562265582875716,3.335343766755495e-05,0.0005012637846206714,0.00038883135538777473,7.105030947082896e-06,0.0003601801152894521,0.00030406503489813355,0.00039496637606558575,0.00044127745702989435,0.00017079902954333185,0.0005237152606895433,0.00025209622815825633,0.0008277470507382836,0.00045325679106992877,-9.431759893583963e-05
AMP,0.0003713870379417215,0.00045531859059464336,0.0011084234281041087,0.0011911044485064617,0.0006033360140586737,0.00032038243134646763,0.0005822908449794486,0.0033280268141067226,0.0006880813163640746,0.001201906364625567,0.0003762060617702208,0.0015190757693521028,0.00027573332591808924,0.00034414573705610573,0.0012672523385163378,0.000584150957416604,0.0008813295851921231,0.0006086659598140699,0.0015482175085431646,0.0007646109098469277,0.0011149521720564025,0.0007120281477529109,0.0006948576645248805,0.0009482080151070741,0.0010964281849733064,0.0007007970276046792,0.0025719657866036857,0.0010660720150727791,0.0014584835876976267,0.00046488413080273295,-0.00015782830554970543,0.0011274621960703456,0.00046552740004848233,0.0009158162101924196,0.001030942922544108,0.0008030866573251803,0.0009345149854321262,0.0013098111212157717,0.0006460766240227809,0.00021031488243867968,0.0008648087299771198,0.0021556988836702678,0.00012668348209785807,0.0005605160751811046,0.0006551296787843226,0.0005743312748158363,0.0009145852124680299,0.0007201530778728756,0.0005327860497853398,0.001862716705890423,0.0005856980932891715,0.0011845668458957074,0.0003062992659043296,0.0009742993112068099,0.0010959527363845361,0.001737114289786361,0.0009617610687151899,0.000168276233844387,0.0013030791835764134,0.0011642672113126085,0.0002973409186324927,-0.0003356645788693441,0.00112150855813995,0.0009252620283140214,0.0020208089906062036,0.001613323652313911,0.0014353373145321994,0.0009551468673302905,0.0008113475563563574,0.0008923294311319977,0.0005962271234252837,0.0007112156354352016,0.0013128090041860004,-0.0002034912775445575,0.0011487182265387985,0.0011168462523078928,0.0015001361133577865,0.001291361818144496,0.0005204359088578432,0.0005681648086094372,0.0008510503558096902,3.382676718939941e-05,0.0013531892508654591,0.0009650658414313685,0.0017544455948241197,0.0006246875342835047,0.0007792643921265293,0.0007027173967017926,0.0005883440493071455,0.0007434481340682707,0.0006656239931135875,0.000970309076377287,0.0014096470351457658,0.001220868203606798,0.0007799873578939559,0.0014594289992224414,0.00043272326800432526,0.0013810246172087932,-0.0005083255793895665,0.000784771701354804
ANN,6.099976187181928e-05,0.00038902376403401336,0.001634315294663878,0.0009726243297747799,0.0008694050549137688,0.0007759111786466438,6.033429020689482e-05,0.0006880813163640746,0.0012596221697267504,0.000979305123800771,0.00023234707739239462,0.0026398884162640883,-1.7757645839564496e-05,0.00026759289443445476,0.0006120647009411461,0.0009920408399090154,0.0005369548686781742,0.00030686897091538093,0.0013322710460871652,0.00030929537402929957,0.0013126846064577746,0.000717078842714001,0.0002939272433260291,0.000887978593073914,0.0007972348055755316,0.0006668028628702145,0.0018181877340751043,0.0010714579111725999,0.0008130473785765091,0.0010712492964548288,-7.622349006330343e-05,0.0009161509976646115,0.000706419307869136,0.0007713953370209089,0.0013153428922946572,0.000645109313031817,0.0007305726930473065,0.0012338654069232007,0.0007663180606536335,-0.00014725750805680895,0.0005323418909285797,0.0021159639720234034,-0.00017842875686090328,0.00018207579234595146,0.0008279107635670252,0.0008024540127932232,0.001417994441394581,0.0011158451327661731,0.0008254332433465405,0.001360800842197736,0.00037397548054348654,0.0010124060664155321,0.000794203838135567,0.0010428042639001494,0.0011248330241813696,0.0013137129024161543,0.001098748929935484,0.00042786209936449194,0.0012213582329708213,0.0009462303399929659,0.000417573712557367,-0.00018107244325702286,0.001299462754884544,0.0007858239110981448,0.0015388183993223445,0.0016398735665961292,0.0012959654700862246,0.0012720610584724872,0.0008436941534063218,0.0009448490334068448,0.00018050434211238747,0.0003790013552421309,0.0005564238176156009,-3.324176240774655e-05,0.0014408453286698238,0.0010438896428338592,0.0017011475014644519,0.0019273168605790183,0.0009708702501969528,2.5712673951489462e-05,0.0003734501852679934,0.0004542384160069235,0.001717854443859954,0.0007343600620180773,0.0012284631686330409,0.001070793650927189,0.0010719562714353252,0.0009849458361120753,0.00040164606925215454,0.0003814361784405943,0.00042560687001917354,0.0012762959091127586,0.0007715937948144994,0.0009194440750862476,0.0007505405548261773,0.0017699641156029675,0.00022459551812033398,0.001204097573763644,0.0012953715662568795,0.0010432588436052634
ANZ,0.00010371691716316041,0.0005479747713394744,0.0016516803352773048,0.0011454863868324173,0.0008536986677767212,0.001003700437900228,0.000517949724601627,0.001201906364625567,0.000979305123800771,0.0016462916793935657,0.0005379596132518784,0.002213292429108816,0.00017506415785010818,0.0003910094419798967,0.0009098228741673012,0.0007856918423352011,0.001097869413249744,0.0004943940422071255,0.0018862906675608216,0.0009569122134629829,0.0012785549488936213,0.0006270583760508654,0.0006307449591671991,0.0010215189925758819,0.0012713866127923594,0.0009380985131221356,0.0022831831402293514,0.0014370875711096616,0.0007620294385459926,0.0006450990410491552,-0.0001308503134607389,0.0012715983958377997,0.0005071913521020611,0.000962645983970051,0.0011579818149389622,0.0009143885368315023,0.000600681312074104,0.0015344467229209454,0.0008966405835415114,0.00012334476622736796,0.0010222848336552586,0.002483388773949423,-0.00023513057568029158,0.0002389655710330425,0.0009871140148066295,0.0010760722782527663,0.0014155006064257868,0.001300682118741012,0.0005885640689620034,0.001699421574705598,0.0006889520778715315,0.001299401611267866,0.0009641744970490326,0.0012667653227584348,0.0013870795817163164,0.0016699639382570216,0.0012326638000887704,0.0005437303092581902,0.0014362043030312578,0.0015332052088218163,0.00040544762873692035,0.00027282276337843277,0.0012939768701718934,0.0009662222865615555,0.0018606387131097797,0.0018458601089521751,0.0014292557257612568,0.001207040163142906,0.0009358839360991796,0.0010055224625394306,0.0002618888538773845,0.0005859074623313614,0.0007205273152052756,0.00020524141330719294,0.0017234231463183756,0.001237840331328223,0.0018659547527506144,0.0018427051432707794,0.0007733458594727102,0.00036342108104723826,0.0005021593774799558,0.000307512107135794,0.0018365747641016148,0.0009034251776547898,0.0014234988462742328,0.0010493440249017992,0.0010763457597908863,0.0009078408809996533,0.00048443781353374346,0.0004832980655902256,0.0004756063139854967,0.001581491714073402,0.0010436102980639493,0.001548199225487907,0.0008981112256782383,0.0016734682864034745,0.000334573004746794,0.001378931604791558,0.0006434168806625427,0.0006260094542539038
