,Material_1,Material_2,Material_3,Material_4,Material_5,Material_6,Material_7,Material_8,Material_9,Material_10,Material_11,Material_12,Material_13,Material_14,Material_15,Material_16,Material_17,Material_18,Material_19,Material_20,Material_21,Material_22,Material_23,Material_24,Material_25,Material_26,Material_27,Material_28,Material_29,Material_30,Material_31,Material_32,Material_33,Material_34,Material_35,Material_36,Material_37,Material_38,Material_39,Material_40,Material_41,Material_42,Material_43,Material_44,Material_45,Material_46,Material_47,Material_48,Material_49,Material_50,Material_51,Material_52,Material_53,Material_54,Material_55,Material_56,Material_57,Material_58,Material_59,Material_60,Material_61,Material_62,Material_63,Material_64,Material_65,Material_66,Material_67,Material_68,Material_69,Material_70,Material_71,Material_72,Material_73,Material_74,Material_75,Material_76,Material_77,Material_78,Material_79,Material_80,Material_81,Material_82,Material_83,Material_84,Material_85,Material_86,Material_87,Material_88,Material_89,Material_90,Material_91,Material_92,Material_93,Material_94,Material_95,Material_96,Material_97,Material_98,Material_99,Material_100,Material_101,Material_102,Material_103,Material_104,Material_105,Material_106,Material_107,Material_108,Material_109,Material_110,Material_111,Material_112,Material_113,Material_114,Material_115,Material_116,Material_117,Material_118,Material_119,Material_120
Lubricant_1,0.08891677385437242,0.05971568941806812,0.03641115474908163,0.011631373233847072,0.060157658006213574,0.029711555739805953,0.0569474950799339,0.06843925093508799,0.028211548069363747,0.09311834460578507,0.03761340207105818,0.03463299783449823,0.09482973408409422,0.09033666541449917,0.06460360647629759,0.08816075706895735,0.08129326035172929,0.01463937629362036,0.0801696911499773,0.09879561304086129,0.09142753547573594,0.010614931264945265,0.028446709804756144,0.044681994280849624,0.012340467080226918,0.027793676386945132,0.05172360479495792,0.02245861997319909,0.05998642462368026,0.0556843568374193,0.07271283879479007,0.06861933183431017,0.08779827978679355,0.09437187253811505,0.05940907413238891,0.08379299517757643,0.09882744495098969,0.07450791464686873,0.03364810603173615,0.09747141640550053,0.021852085393195594,0.03637645733565419,0.06367353627542933,0.03154400724865626,0.08381605105698924,0.07881613645604274,0.058869693598079524,0.07146623127945355,0.02193301486128489,0.06414847180489283,0.09978246352233404,0.0857013459022149,0.06255001384285314,0.04227696276761908,0.017593246402202296,0.0772253419683775,0.04759109918722734,0.025178113582542995,0.0654467678367588,0.04243365689389933,0.06159667960541722,0.0360380391964118,0.05940885390431791,0.03722179036031819,0.02582185929991409,0.05368997034988769,0.06075607308302113,0.024119730774333457,0.09027388864210766,0.03826449459348976,0.091764919204242,0.07616068836304445,0.014581019598205434,0.09834942783844658,0.03277536677421203,0.09040763709309854,0.025893285276467004,0.0974955858308804,0.0893001996851544,0.07009586575320677,0.07105539888958774,0.0700219489039373,0.05028478205115933,0.055828345457994984,0.08623822787804894,0.02087820367484651,0.07653977572471649,0.02881069175869859,0.09062558864488521,0.07473066754105934,0.010170733764236816,0.05267268727809231,0.04645928338360337,0.09897536297715345,0.08126064374124174,0.042331813357050996,0.04864100881925903,0.02749738554048043,0.03708590627342849,0.07934238176578094,0.0637983956550998,0.061842262615398914,0.0730316082771157,0.02595462041199259,0.013424486550734282,0.04154895846670449,0.041987680266054726,0.08876966812802899,0.01333843671114876,0.03492294863166588,0.09305041882062219,0.0468524259760366,0.06032085786178765,0.016562576875944358,0.07126108554790622,0.025914992989668893,0.06221861106340944,0.06274026635753605,0.05752406579259065,0.09775368934872784
Lubricant_2,0.01974207452429321,0.013646769088081946,0.020846834074605216,0.0677251827097374,0.08822794158017096,0.09072123837636202,0.09953578071780012,0.041835082296712636,0.014235004082626214,0.04105599171806623,0.06241126612773572,0.024533756182763444,0.02914747716360453,0.08306499833948136,0.08330453396050258,0.0761027556432879,0.04278533395734157,0.02361154279703573,0.08254838694017565,0.06392483594164486,0.04300741537127973,0.08295062301013408,0.07480312549783862,0.0826207940333132,0.010021718373434836,0.014553210824042425,0.016530587683850996,0.04601196436733688,0.06840449250478536,0.0823171781191262,0.07087264282904843,0.03829760199381747,0.04414538214367592,0.055200540306118685,0.08312019620514079,0.03239424156219936,0.09303573357322249,0.09417277727583274,0.06323966252793264,0.09433353300203791,0.042975285382632,0.09954310667490174,0.04353874725797208,0.05126097522878272,0.0968763665412414,0.08228300858309053,0.012958807503319066,0.024816816751096815,0.07734829670037831,0.07971478884345079,0.09377707053255827,0.011270936718343538,0.0483176020233135,0.01940854302427089,0.03823380206699474,0.08484244561503915,0.050416167703521184,0.054140732473757676,0.03134989375242611,0.029424902004601128,0.07506040942102113,0.07548298603334355,0.011095298977091484,0.07112746526299997,0.073390891405357,0.08032854053071886,0.09822130766681715,0.06284059105652157,0.04467456524630979,0.049460111850348557,0.05314050470857511,0.044678722702262884,0.0996850518728236,0.02248463028215453,0.08660285634749547,0.031499258361710906,0.05547968150961521,0.016227714782924556,0.015559770597144272,0.05686315453489795,0.024463110113483538,0.08552052820543643,0.011209532826618903,0.06245365859187402,0.0291369543130515,0.04596703019101271,0.0687670027659769,0.08337350596490077,0.09883032885225096,0.035212044459572704,0.09492217867067522,0.09182764436330924,0.056917109088453474,0.04910886989788804,0.012081527814879797,0.040396943207504886,0.06663447784156977,0.05922397932142669,0.07117360301650974,0.04681735752228603,0.039135396549845484,0.06803084657425804,0.06954455123858276,0.050373374543297454,0.09999598325543596,0.08745673208472006,0.016210839218530983,0.014367074054789472,0.016826195823621444,0.08107750323643506,0.0976037078105676,0.039395137085359466,0.06804514354998197,0.011743774441178145,0.037224629398507486,0.04681007468418024,0.05276185214632917,0.09230333331136176,0.07281367490066175,0.04125958668573177
Lubricant_3,0.0709823744689646,0.05385270289121007,0.018249340600341397,0.011367491245829248,0.0298718370358675,0.03897425705326873,0.025281816253571773,0.02093947387177368,0.07943930957275107,0.07324985765074432,0.010999425128153162,0.09168517855341692,0.056628279968224775,0.015229768513143688,0.05452529586033893,0.06498960152729609,0.0439301650891069,0.06645645180637699,0.07409521878947245,0.09907552678790811,0.08935312571978601,0.04832466199136713,0.05019366339099618,0.04169907267342612,0.05558590071993552,0.05487551340082954,0.036982599152659085,0.08608509570267128,0.09355317329512322,0.02984496006446344,0.09128274801505389,0.011977193702195556,0.08030284145168919,0.0267345645020622,0.07902844054326538,0.09625398153606438,0.019799399020668764,0.03632914530465809,0.09908539990196974,0.05653911314429643,0.03969780237320299,0.09926462512153854,0.06988347507178744,0.06027534647129488,0.09568148234826145,0.046927897125413225,0.07317397949440481,0.07206218733035899,0.06171691885051512,0.08555682280927322,0.06019622076103451,0.0285848982131071,0.08087441793413623,0.04240759022696494,0.034795727146537024,0.060713296058934885,0.08892170371089514,0.09305828428563064,0.04122354370116975,0.039284660074495534,0.019654569106858456,0.08223960352703155,0.023592705943500054,0.09225449003188557,0.06936516335390881,0.07821314783740359,0.0176771365886689,0.08319711475000392,0.07848581059174041,0.06896586423739917,0.03744360038616806,0.03530717842809635,0.04622933903335635,0.053658086350439387,0.08501954357682605,0.061005129588827506,0.07658257892397217,0.039789274485749045,0.05740084493516333,0.09898554005568598,0.049379040376386525,0.015284466692576298,0.06634382562208145,0.07482454243865506,0.05888843337701399,0.09652005895651915,0.02973249711771119,0.07323928681980126,0.041686218102688286,0.03525059304390685,0.05559039746557522,0.026059109550085176,0.07825031387349948,0.0469233907981158,0.09767959014316596,0.05663099119407573,0.062081232418705855,0.08444628999205941,0.029707870604914213,0.012619268437561301,0.08652560006772964,0.011764071896122741,0.02000486804497802,0.0591751371418022,0.0795195493847331,0.05407549630178614,0.016472710515819954,0.06735432602713136,0.028692152667635168,0.041234514842133994,0.07047134823654377,0.061922139365294525,0.07226176736350574,0.08159285349771978,0.07470842662025318,0.044338065984733166,0.05773184757315581,0.05432542182478319,0.031014986781945607,0.05498866324617281
Lubricant_4,0.08061995501593495,0.07954142487266545,0.06597466707725642,0.047527912507782016,0.02367099396052079,0.044788183779754444,0.06579868589402572,0.02463811618231685,0.01721264567407657,0.08766095297211622,0.05544621420272198,0.017132805160402442,0.04921835333615472,0.0999174493672187,0.05370700086345069,0.08713027619717194,0.0557000416001538,0.08217289126998806,0.016918231741436807,0.07897644399829004,0.07587657494982629,0.03293045584281304,0.03106534944039112,0.027348031621696377,0.02285906598345579,0.07492683431949668,0.028039315960708744,0.03685131779322043,0.09568009528629155,0.01201965423426491,0.012152475999452045,0.04664626852411444,0.062092825467568585,0.07009807630405344,0.046027019835765744,0.06768857142252105,0.04189763161334124,0.08722747200163686,0.07436296744483127,0.07015861172044627,0.06048022300011172,0.07174275723023957,0.047323701889771495,0.046569254008208216,0.04715404128688427,0.0716629069710232,0.07103551086186027,0.03859606611872441,0.024590926015859202,0.04401652031634759,0.056027365217420105,0.01438222260166832,0.07240503417686556,0.051278625355828875,0.025613484134560077,0.08299933646053285,0.019036765098944433,0.019367123110435473,0.0980107518497998,0.045160858103687036,0.06641095078963385,0.06345923745156477,0.02143738182303236,0.09807446009987379,0.09325362694887437,0.05718170479528666,0.04086529929736688,0.046021213966483045,0.03004598240928045,0.027642085248309453,0.07560042532939133,0.08160229098229471,0.06493510267919812,0.03904169525264254,0.09169062779575562,0.016839415099786113,0.04707253806398706,0.08197040723497633,0.08188851213012217,0.05537585673835438,0.0534735191953123,0.05754364926811722,0.03261639357297515,0.07656891197349443,0.01793053255600512,0.04581596405019357,0.052650332103561154,0.07820207359929497,0.07775029019926126,0.09765764526374317,0.03540535815677828,0.05583482177816113,0.053260270894763796,0.021296470493774824,0.031365586634613536,0.09693902962750797,0.02029416768106252,0.0158823995245257,0.051074201540374356,0.029351949607580266,0.07467725769483316,0.04683883901305986,0.03810073875034931,0.02782759079161664,0.08525519283875431,0.013151831888455172,0.01422627220389816,0.03702628259992347,0.04085948484406355,0.0281466457037401,0.09665511924417029,0.030953270191324482,0.030881153056121623,0.01920404612980884,0.08860731638936681,0.09177670262623688,0.0686938829065541,0.06456642686077974,0.03583261106379523,0.05893364273096964
Lubricant_5,0.0655858961858156,0.03538333358463339,0.07170784682172576,0.026711198625250926,0.06720769155780186,0.09462684072810558,0.038794834284429064,0.022624251394928754,0.03123813396299855,0.07349390581879256,0.0601319800365597,0.06294466381069468,0.05496361209658894,0.030068072409692392,0.06569887392486792,0.0750716919770152,0.07766212282336317,0.05971445840645476,0.05218254029949134,0.0781772488533213,0.08541644228363642,0.09366944582966025,0.05449731649343711,0.059562072138010465,0.09076547513566653,0.029737415006853327,0.08827980829599205,0.08412420819240064,0.06276397535169972,0.03519360286082785,0.09814570289063472,0.0960611227395863,0.045160953821697526,0.014491943886363254,0.02077758130895735,0.02729987735825269,0.09988832029894809,0.05228272156378276,0.0938162281604739,0.09426135982278024,0.037749545009177696,0.08726265481517564,0.08674883267049754,0.03796786649553156,0.09658342633786124,0.04500080113520104,0.048022456054731225,0.07447785375562078,0.0769187318867316,0.056530917332038806,0.06034557169283946,0.04044640953989196,0.07446519735728369,0.018063906683690734,0.09384929394892152,0.02370204522502818,0.04475575524036732,0.05301031545609277,0.08972958498087466,0.03269910508003538,0.07303590113941148,0.030958517474144485,0.082398874761239,0.0770075825387513,0.08332568409306165,0.0906416915761967,0.09228834341316794,0.029606474122358895,0.07100368025148443,0.07388253278973829,0.03352648749934885,0.041352470746644505,0.08218604635675714,0.045824880670102194,0.05747052120419058,0.01584116941238136,0.062396048820290796,0.09812797866536914,0.08937924440025198,0.053874841320767974,0.07673752630694006,0.0425635784048683,0.059403793681412756,0.031644386389398656,0.015135335180846355,0.07315474364609437,0.018387719750452287,0.09693235276110404,0.03655241224291603,0.056341160985766955,0.08301422577353189,0.03545161658277907,0.054523175473792575,0.06648913319370785,0.013862445023132556,0.022355529964922884,0.023847436197416548,0.02893729732693274,0.07899786345972662,0.0729810950969138,0.022798752346607033,0.012934775075542014,0.020653539985472265,0.0859010255724601,0.03777740129149004,0.08170626316222529,0.03315772027370618,0.07656626979763546,0.07744520520068682,0.033683094188241856,0.023395995348067265,0.06218488779389984,0.061784948931557816,0.0750987228451536,0.049962328079517726,0.09533492634304137,0.032829065443579664,0.05431379110068389,0.012585649293652613,0.059445828346974726
Lubricant_6,0.08409457102798223,0.09100130072910545,0.025156535408474928,0.04884896031512213,0.0668781206656107,0.07480053765015447,0.04817033882936078,0.0729417721638374,0.015261913196375064,0.07620737685343858,0.01944054073349008,0.025361761870420666,0.02422876360907626,0.047936011007257515,0.026697934047749568,0.08262448254687947,0.07764366637717167,0.03328676968865498,0.04822859987677658,0.09033391152914384,0.08822841996814194,0.029593317200485282,0.05342387644199916,0.07938631957543422,0.04913025572400904,0.07057714840065853,0.04432225484347445,0.010096242425184697,0.06928532195762042,0.044354309976753,0.08799547402777005,0.08020064764014796,0.05269951135638886,0.02993608269449686,0.06729808614667512,0.07129874229604123,0.010697690802588042,0.04463630359712855,0.08590023727576108,0.07931065688659947,0.09990225622704858,0.09804013208011127,0.023234378863919797,0.07064731675661229,0.03554743376958782,0.0270876311033285,0.07176352600037489,0.03220929228729801,0.03143646644796445,0.05072787083975031,0.011847069279799448,0.06414186718343921,0.06316955934814883,0.06576733881273897,0.0395385786736123,0.08735756025506607,0.09528035176700578,0.09797468767982427,0.017024488836033524,0.020923807617272534,0.09046656442304755,0.019133322865823938,0.041237090274294806,0.055565557690618946,0.06523401803206492,0.06099813134841094,0.03330571680780874,0.06768444427790206,0.013518388010265883,0.09236633985277061,0.09161955481112495,0.026275215837561934,0.06932408140568776,0.08801568343103681,0.0564858480061728,0.09917896032152129,0.0764398863981159,0.02821987204663521,0.02593538275179138,0.019085633632265273,0.01312563627238395,0.027029137188783553,0.05565964827469943,0.08608304168196325,0.09540816218886616,0.07118001767735226,0.04215584431710866,0.09208205968838312,0.09870988514241025,0.09142675657462322,0.07699665172356714,0.0811616967653864,0.020184653166362157,0.08597355434725891,0.05674942506132757,0.06155321525574572,0.0974460245743312,0.05878950013423709,0.031098863739363033,0.08591395479298562,0.029649267133455746,0.09664215243022194,0.07757139696962072,0.06709940018667256,0.08844258588623867,0.01824895640290696,0.07763827148815093,0.03427425883645743,0.02412948271625512,0.09087889608003992,0.020060059903405557,0.05536071334585471,0.047992166448820255,0.03959146654879398,0.0888318185630091,0.027364060270792176,0.07125701751991755,0.05145760579991693,0.05329655089639879,0.02236166962795612
Lubricant_7,0.09136982264121052,0.04980281828251576,0.03160464259455885,0.04916732488108244,0.027303623731826855,0.036579252074073525,0.015154188700529255,0.06417930238896674,0.09361930035451646,0.06168365718214715,0.09266789190564459,0.042137768269693926,0.03541764205963729,0.026127567090737838,0.050703930250542,0.0771635221095794,0.01846053170797378,0.03869028868252564,0.09648162475513802,0.02903469980067809,0.06006505136248877,0.015836312612367356,0.08202273290707435,0.017758326289038534,0.08203356166948864,0.08338059498525814,0.036960883900878296,0.014973930527393896,0.03835106611174164,0.06971432799763345,0.032584747886125726,0.014833528398326351,0.056679482564290354,0.07357632286322015,0.07784510778277749,0.06246384875610844,0.056125184864670184,0.06513342476454334,0.058950853442481264,0.023885404782943192,0.07378760988526603,0.05809018661157197,0.04638122266064944,0.06737875673665876,0.06899251180552957,0.05273334253213281,0.041264709709471686,0.03758443264128146,0.0973105462716666,0.060467819984601434,0.011666916491523726,0.04260123619076381,0.07142803340614948,0.041706052522598985,0.018178012632538397,0.060003509933134296,0.05054568503552903,0.08249634881497048,0.03518663238229942,0.018456499201592955,0.0970896473335139,0.06359991676458854,0.04455927546863355,0.048272439546195374,0.09871270467401803,0.01063628420839352,0.0396355772433685,0.08412373250800366,0.0584388238045374,0.013656370072876893,0.061795168673122416,0.021860216296487132,0.02886791595763432,0.09622972794135216,0.03963370398720642,0.04831054610453149,0.03694318745550383,0.03911647817829739,0.026274407558327176,0.039331922219305974,0.05983632137969208,0.09019313696511125,0.014100159509580237,0.05164959082964047,0.013894891637523405,0.06286932724561956,0.016441411628893173,0.09692328161089858,0.01517446486967256,0.06678789597461628,0.09876395928870983,0.021561600550521334,0.09895357605865969,0.07865923801579781,0.023485610271119985,0.09969851915706385,0.09495210270864743,0.011405215705983877,0.09426195062891535,0.07050265935165449,0.03402522174644763,0.06832501640359626,0.039742372506180214,0.050990257140778865,0.0328318202376936,0.06768584823063199,0.042526811440058085,0.09098202658012003,0.017679353274168957,0.07814435621503976,0.08468804507685108,0.0604707453124786,0.013948299308990558,0.058924774041131986,0.0702652303022406,0.09588434117520911,0.09022763392236667,0.036098522076212135,0.0756335379362946,0.09638896349691077
Lubricant_8,0.06446469200569943,0.09759912488469762,0.05691981300657153,0.09374520045101062,0.02847121882554362,0.09802360449744485,0.06941815449314848,0.03923292291324999,0.02619132154489351,0.045269734410051665,0.09772005650232665,0.04754916799563294,0.03087886805731447,0.08435518594410878,0.06305785378489805,0.0900251629890719,0.08486772311384176,0.04472488204156876,0.08921399788735,0.03133456240559773,0.07658909851259357,0.06447200551350342,0.0556156581439739,0.0987115030379787,0.0814563354821513,0.08623327908423455,0.059649750143826855,0.014367365876711741,0.07469967279648257,0.0256984358586363,0.08991678589895366,0.01967494491724416,0.051503014485739525,0.07270161340177538,0.0875977968437461,0.041107744973449434,0.039034684598592696,0.04187735935267755,0.06280882326762774,0.0265046992210852,0.024806092235814224,0.04827933119399489,0.03985164000933456,0.04795594784306944,0.03167986012144324,0.0923362479606389,0.05433606683156035,0.0897327292522674,0.06113252867267332,0.09330735365962471,0.08598295086095342,0.07051972154739353,0.05839033314515262,0.021505357240485856,0.017454962343715408,0.04762426030039898,0.04042534668587618,0.08125141490402567,0.08475427002621166,0.018145243074968828,0.07787498142170124,0.04255879881591391,0.030569114351832474,0.03777137483454399,0.09470258116556747,0.04146682207675811,0.0871533259561425,0.024269527737143623,0.03364803047474094,0.04035738794575924,0.07745389189723771,0.023383730570697585,0.019117213485623598,0.026253384432339863,0.013782265821244673,0.03583088254295926,0.0707347737190377,0.07599359419581361,0.019331443630038525,0.0740276406954446,0.022871744816612548,0.09545712000289153,0.04263386817174728,0.057776488007340095,0.019849938389605457,0.03674694409820625,0.06739215684135248,0.049070073271939504,0.02649401384542676,0.0859237095115126,0.08123106549280933,0.04727270772398884,0.06889146830034165,0.04489390269863633,0.027364492842628513,0.07095486193972399,0.09664820908715781,0.012854280063459995,0.06721920839644237,0.07184077379844385,0.08657854404551632,0.06675923216975338,0.06216301455335444,0.01679561013651949,0.040467196414800746,0.0212573055362366,0.09106348669926295,0.030620458352477842,0.05336367593555718,0.08766317345883529,0.09923319502036325,0.0998382866124941,0.04730828698617532,0.07207753251505547,0.058361557113336834,0.056293271483675945,0.028316246495618147,0.011058157808149106,0.06546656450159273,0.09510511415692502
Lubricant_9,0.0634052385481829,0.02206589856770249,0.018977348793673573,0.055709139084334315,0.031755481106178096,0.011712234830686761,0.03370047569335085,0.018660085385116355,0.07582435343251118,0.04364182175335088,0.03466520075829053,0.09684679899204356,0.043270710371709396,0.029732349703448506,0.08691552210678728,0.09097002601216782,0.05943077230109983,0.09015946021048768,0.07238148263631519,0.08374638920278024,0.09889411988391698,0.06686824263498804,0.09470241476145269,0.012803705987080784,0.032942445797575944,0.08011039672522867,0.08290158303963614,0.038361725453564144,0.046389366029292084,0.04601451934750983,0.06253237854306434,0.014951609362721734,0.0681343874399259,0.030878792227462808,0.05925482880605641,0.0633886087586109,0.015904605601282002,0.08313320877518515,0.07875100910392108,0.0622693888176226,0.077475887543015,0.07971863407315002,0.034657136639744485,0.09627247851210685,0.028773271410740778,0.0780211165898435,0.049006393947858,0.09264653540249188,0.05177756022102807,0.04226397202950709,0.02585753037098576,0.09403650458524505,0.09976451102671909,0.03496834618334566,0.03471514839002857,0.08187049635250884,0.06548899024709001,0.06195402195693157,0.09077607516957414,0.05313354684783062,0.08921122464569918,0.021080961621487183,0.016412456735854408,0.06306908369788239,0.022443751903489982,0.04158690863522558,0.024161344771499508,0.06350522641518085,0.019052432264486156,0.0941370405822955,0.019847919872667652,0.06542860984102372,0.04196771243304627,0.07344027511093928,0.0593636952945717,0.03419240153307008,0.04912784929928418,0.03615401101080199,0.08175205906964389,0.011126613791716176,0.018225990939334018,0.03812733279628967,0.052649015601177955,0.042667848866807793,0.08316853945711947,0.031047088413951984,0.01399955562664979,0.011600814776309563,0.041975233040111005,0.027707495789443974,0.057603612706656405,0.08215190653604267,0.04326536420863532,0.04520071148460813,0.07415478857070122,0.03646719710542368,0.06424913779507531,0.08446382822986138,0.023917749519824564,0.07486764784850648,0.054562340089692504,0.08514094606043691,0.08267521609728393,0.051593711469012773,0.06732557015368434,0.09954584156672652,0.08201745967954759,0.02255068832783854,0.04729421970677535,0.01619876201873485,0.054760768487552534,0.07620670265444651,0.09831029077638795,0.09734111463739813,0.07551782303531661,0.03667198836702566,0.08485359529570227,0.09496191417517204,0.019310468036292015,0.06154274041141297
Lubricant_10,0.014670561326627078,0.03402251132716741,0.07231256557618872,0.04609045938687511,0.04900041648953174,0.0575348605324806,0.05598412854516231,0.09760141194148071,0.08950919618545759,0.02409434128313489,0.08136596845984069,0.012920471205577842,0.06541998993411827,0.09311268431093453,0.011949124304774263,0.08803350725165716,0.015750355742064688,0.08988146305572843,0.08958839841602259,0.04412611511500781,0.026666633994727088,0.0932228214163087,0.07347593829227415,0.01583084839963189,0.04396265175512967,0.08271811568888422,0.08040698799719487,0.06110638086366219,0.017181906000314613,0.059256292028265344,0.05036703029204031,0.03200218740656628,0.025481300635063247,0.09105658539930903,0.08914702929580845,0.08052600274686347,0.02247626682096675,0.05948994037855807,0.041065365911703774,0.01596680678630155,0.05391149515357225,0.044033064408213037,0.04271381817564381,0.029898918082216452,0.015614844015916016,0.07802405095826527,0.09349395105359798,0.05811275267041157,0.07548154764086128,0.09541277336433963,0.0319965032771838,0.01996467891327138,0.01874669943458851,0.028219862380463964,0.016935324172157786,0.03359197681988681,0.012763665943003617,0.09689408134432669,0.054719374174450976,0.04938200284729588,0.017718734232885565,0.07338058113736935,0.06375623591013642,0.07162482938423272,0.0545514454937147,0.07410648391784709,0.08997412046929469,0.07696422617227915,0.04159176267564242,0.04899090498443825,0.013613789044181743,0.027945449233434408,0.07555280275854016,0.07885201613962538,0.026448876040858778,0.036841127767159275,0.03590298153123053,0.02786760493637616,0.0734658284946478,0.05045249934520879,0.01112811811894709,0.056564320606622094,0.023965514238920196,0.06514452792337436,0.08908841705999053,0.06722891468413941,0.06395626969326776,0.01164374268824004,0.029482436560788014,0.03103535611809488,0.017886582260995584,0.01653397461565886,0.07238830328078391,0.029364215599667377,0.09696356404971088,0.0597340863253558,0.04415315413854011,0.06868426704235188,0.04523741094694623,0.03107471811204275,0.010228828420774903,0.026785271733324546,0.036108581346127946,0.09305209151833702,0.011334242203594327,0.0313699450046054,0.013587360916054681,0.0896897036692135,0.03054569365306841,0.08150329793197199,0.09037072442945526,0.031540002486199537,0.03863536002954076,0.05266950444294484,0.012820115142587544,0.08072984690168623,0.08922805166278619,0.05691112480980414,0.05917745066782792,0.08059825273912635
