,Material_1,Material_2,Material_3,Material_4,Material_5,Material_6,Material_7,Material_8,Material_9,Material_10,Material_11,Material_12,Material_13,Material_14,Material_15,Material_16,Material_17,Material_18,Material_19,Material_20,Material_21,Material_22,Material_23,Material_24,Material_25,Material_26,Material_27,Material_28,Material_29,Material_30,Material_31,Material_32,Material_33,Material_34,Material_35,Material_36,Material_37,Material_38,Material_39,Material_40,Material_41,Material_42,Material_43,Material_44,Material_45,Material_46,Material_47,Material_48,Material_49,Material_50,Material_51,Material_52,Material_53,Material_54,Material_55,Material_56,Material_57,Material_58,Material_59,Material_60,Material_61,Material_62,Material_63,Material_64,Material_65,Material_66,Material_67,Material_68,Material_69,Material_70,Material_71,Material_72,Material_73,Material_74,Material_75,Material_76,Material_77,Material_78,Material_79,Material_80,Material_81,Material_82,Material_83,Material_84,Material_85,Material_86,Material_87,Material_88,Material_89,Material_90,Material_91,Material_92,Material_93,Material_94,Material_95,Material_96,Material_97,Material_98,Material_99,Material_100,Material_101,Material_102,Material_103,Material_104,Material_105,Material_106,Material_107,Material_108,Material_109,Material_110,Material_111,Material_112,Material_113,Material_114,Material_115,Material_116,Material_117,Material_118,Material_119,Material_120
Lubricant_1,0.14782857240281244,0.03970497767488895,0.06983293968541163,0.039331826595197655,0.06776645944549067,0.1908041765652372,0.19997341212183412,0.0950082216687522,0.05447610673599723,0.030860197731651474,0.18695328918798274,0.15220855722525345,0.0908127274116504,0.1651727742376703,0.1560052858093358,0.12314771533394606,0.0938795857131237,0.061606775147761236,0.1435417832003696,0.15961610801642717,0.1471949721667133,0.03806771307225221,0.17207050471191954,0.13825681208110494,0.08668506282115197,0.03777799481207156,0.0706799252403183,0.06443470679389468,0.10813762728591769,0.11990633127741368,0.177824697152052,0.176987043595757,0.021042109268519064,0.1286117979320063,0.10925325511604347,0.039715742976927405,0.15609260283818693,0.06347766229485492,0.13964881019529213,0.04334945112249161,0.09737849058577158,0.16779634707265886,0.07303873411572402,0.16387201528930923,0.1775137625042813,0.06392554530654615,0.0543516421315528,0.1180112637413084,0.13769626364878546,0.08703527511204806,0.02246023043265353,0.14518235144220357,0.10542223370896209,0.043088794236883124,0.03381037615695553,0.04528354449608393,0.18818028858895236,0.04688109357791055,0.035510835845262156,0.09903412780398535,0.05792680152631956,0.09489608418815824,0.11395782009722491,0.12212545601125345,0.044680495421451596,0.02832633180143268,0.07199287066950229,0.17954200232353038,0.06000760137123662,0.11581264119913139,0.03400688713889989,0.151277560821814,0.15338401905179494,0.03791792607839039,0.1962152887083855,0.05253646452928672,0.02948595313840413,0.16698399891329718,0.15157681682560284,0.04822319717171456,0.16681437626196102,0.18887532827339143,0.10121829086489674,0.042155289874906,0.0679355260722223,0.02940153351383519,0.17253346162734362,0.15523572944813044,0.1657337408248884,0.08540341517971904,0.12311243782671617,0.17877351354878795,0.17352931296762236,0.056747715447885205,0.17143389880328944,0.16899456290218318,0.19484133899273867,0.18198990394421335,0.08648260566732982,0.19415105448222758,0.05827988480801467,0.0401644378475557,0.08082784216382849,0.174726839779402,0.19190210175260727,0.05290180172890732,0.12071465773916373,0.09101609649034842,0.12423767789058907,0.13731829611895077,0.1316234647787761,0.03319375175829298,0.09344141977519939,0.08783432975369831,0.09464943715515564,0.1656780753816226,0.030529885454280172,0.19012504183183065,0.06635783437484347,0.05152457335182535
Lubricant_2,0.1822914970313798,0.08326922211983466,0.09808417325897262,0.16498401847517655,0.040018602600088854,0.13325833835757758,0.07727971666567955,0.16528606199525353,0.024030644942981544,0.05748903772390003,0.11128965586979095,0.18958409585913588,0.10838891960506164,0.06442453224538609,0.07956909461758054,0.12221486846877654,0.11944177737667155,0.10000256552492749,0.18154945371958112,0.04506807400231408,0.1860122564602561,0.049775046442157606,0.17213224450645426,0.03337717687688093,0.12366306967511789,0.0280568495996635,0.047469337988223614,0.09629679282667437,0.08868338769388852,0.11937879009842639,0.1327609985966569,0.14991492567206569,0.0761834153347062,0.14502971028971534,0.18569038104346972,0.16318096199675594,0.09054201073518911,0.10942079126032671,0.18685934886168695,0.17355566795722893,0.16676197973929216,0.13533014897344012,0.13236461177692055,0.19961335962446342,0.17074063010245896,0.18126440217404396,0.0857931793752949,0.027414911283846155,0.04403094085514472,0.11297948874018188,0.044109807462827354,0.18330374338747307,0.17837316936076028,0.08258109609489049,0.032991120411501144,0.17684190670290623,0.06844799943679497,0.12884390794840808,0.12280988111271934,0.18004112564493344,0.07575734464302337,0.054650053912447705,0.04701671654572589,0.10002366662545362,0.09712548991766927,0.027120397848089697,0.08703827500581927,0.03649983333190508,0.08342455050562012,0.06703691294614876,0.03641175076784825,0.10090166788036423,0.0690978940388493,0.10631924316052484,0.1924400532271711,0.08984578745367958,0.1999570295949992,0.08718280994041401,0.08533069007220707,0.19624931094865927,0.15927347545737286,0.15822486004869468,0.10869993070727547,0.0638923567811187,0.12371342832019118,0.1198374716226798,0.02197678717438685,0.13977025870247167,0.08716089933224905,0.03739689696923221,0.1829857775951505,0.15357227787649563,0.10433173713541426,0.02912926662172939,0.19555654401922296,0.12380769826217695,0.157625967636622,0.06043475767945347,0.10814342698831089,0.06278207823498418,0.18998088388219642,0.08107706819130028,0.126480402392098,0.03833672709459911,0.1209861760479994,0.11246094973763218,0.15733787805396063,0.12847473784232324,0.12390044620975171,0.16816036936157175,0.036513837112075107,0.08409194019436589,0.14776821614034255,0.05315050088548702,0.07120682015494198,0.14260879908351326,0.18119944161795712,0.10130409493952268,0.06791122343865953,0.14448840142257427
Lubricant_3,0.08324997401622211,0.11359291833522957,0.1754663419021522,0.13805096614629234,0.11120669421908876,0.05133349320781533,0.08179014618486848,0.14391053178642546,0.18633191791813303,0.16307051363231026,0.09492861351962432,0.0633260300624919,0.18055336048152093,0.07207589959831923,0.08497140838531843,0.1780740097565205,0.11754781556730495,0.14126774782807144,0.043363564764103246,0.16713632955076804,0.06661217608654184,0.19326573993855142,0.19689403741889658,0.1958630013755913,0.1174712596804044,0.10201743750783801,0.11570383370257206,0.1070114026323357,0.04086799450585622,0.0677180552004363,0.16847964570368787,0.18860227225439893,0.04527707619491797,0.14915172503467225,0.13044783577860078,0.08274722612882632,0.15029683408866512,0.14338542272809643,0.1041992650035968,0.1550044816515448,0.027479775093729397,0.02718522635447651,0.05782210042408718,0.04031008311644683,0.055323808942464595,0.07823928778332535,0.1749078598797046,0.09264097827272884,0.02548397871941838,0.15152469402445312,0.03378640873677975,0.1098536764817784,0.127469346942035,0.16062173077517033,0.15846972570702084,0.09488251831157257,0.17372413424985095,0.03266374866365336,0.05909368310628961,0.10852964598472718,0.15840898342890727,0.1347412325210685,0.11108589729626592,0.19211645918821676,0.02358769749805879,0.1912104906345825,0.03722569887544719,0.039925758297084904,0.1183217981213799,0.055635143648472316,0.12354364634866152,0.045127120429007614,0.16491620735610726,0.10972566680448104,0.16969062189341477,0.07656106390135384,0.15263971482012403,0.09626229761586662,0.15634792633155953,0.1683035187048691,0.12390526653161782,0.06962735002076609,0.18979181327897718,0.1448337349154325,0.07168182326847304,0.09187718750676545,0.1026995098173793,0.16585330897728937,0.08215348908917214,0.05088450285139324,0.02387351463240864,0.056403639265708794,0.11380536933216893,0.16709458200515814,0.024652104698879986,0.1571219743123976,0.09348669558222204,0.14679369253951918,0.06401283583425224,0.18212617342318446,0.051906192968268317,0.16490521210618186,0.1639453433457821,0.14681135252996252,0.08742686768868822,0.19045754471371157,0.05000810163634635,0.12392234187554864,0.05391648602648831,0.16455678996465392,0.17976876317164245,0.08546053639415754,0.1598657370074092,0.13956159741145233,0.11318415126191608,0.19618483157673391,0.13128980777181765,0.14161909179276694,0.15738034014354624,0.10412920657196295
Lubricant_4,0.1418851542276159,0.1558769198239475,0.1020572309843777,0.06487549125967687,0.15647738671255915,0.0967692814506656,0.1724453511987811,0.08942080866375608,0.13327145735383092,0.08591244077961649,0.0937405411065608,0.12020010263697761,0.18525029359779335,0.06461781499379264,0.06921020618210684,0.03029216599087051,0.07815355805212763,0.19252556617175745,0.1701801951344103,0.06738694577093579,0.027763297084895583,0.13395387449249904,0.09362821323409942,0.0960129663887577,0.1430426658814855,0.1763050837040357,0.17488726250752812,0.11319816651207405,0.039527268115767,0.03793680308802802,0.16884182563485509,0.07296456262489287,0.05723571278577923,0.14711300601658195,0.05014458228269588,0.07903896059119878,0.15405922563111588,0.13381133509988688,0.07865562639872438,0.1714447924369752,0.17974570775750262,0.11380254382347475,0.10804208420192249,0.02334981756188487,0.02898116647253904,0.04930920397270641,0.15274737959502538,0.05866634648591662,0.17873647277045976,0.04388818764204107,0.19743786094054835,0.04945340981497651,0.0566392344898793,0.1591569873251109,0.04764700000206692,0.10832628325816845,0.1706176327696182,0.1191778306239509,0.17335431353504363,0.06246193683310315,0.03159688341624349,0.11672956133660341,0.1522514342603453,0.023834100515909454,0.020493811725375947,0.11698342765713031,0.12077139584845917,0.07665374364592553,0.04332984788445095,0.13993697099541555,0.1710591771040467,0.1363737979622459,0.02029230985263001,0.09060682271170821,0.18418223878138992,0.1432648462809513,0.09026211459381901,0.06829959992881804,0.05559656651270983,0.13000923505448295,0.045419666712906405,0.03783568694170394,0.07035531233930553,0.1812405714687901,0.03874494678086157,0.05793535403500452,0.06851651976564614,0.13121186352623193,0.08648227010578381,0.14957234915427414,0.16181274683843785,0.1472142521984291,0.02431495172279482,0.18020687332038718,0.17230324505473482,0.15183252780380527,0.06613223652081741,0.08277928645060167,0.09249187811527035,0.07431688662169345,0.08166580745586097,0.15755261625140998,0.1972058310544303,0.039266588639740446,0.1047099586214146,0.10536872894170385,0.09171664115049682,0.10039321313945741,0.1736207395592497,0.09516805708055331,0.1636721052786826,0.1519128864135651,0.08243239617039105,0.1780052089249402,0.033004960628668194,0.15760461062083603,0.12432594515620651,0.19476953167494745,0.1427421317437101,0.16280721407092763
Lubricant_5,0.1592096353982793,0.18023440704793642,0.190784936270687,0.16446647104203344,0.05630593302909476,0.16753851205911613,0.14701729393069363,0.15834679928835557,0.18034761606706232,0.09184229833013534,0.07280035145828856,0.05243110881503191,0.10814225889402673,0.026229547658512382,0.15633945863048027,0.10727548261992519,0.09910669895226323,0.06892178546018783,0.056944968411646965,0.04994509906700549,0.03534380314475216,0.12702810496466824,0.08153182324727412,0.09016631092938093,0.07948210711736507,0.14654441429387727,0.057377776327398905,0.04879465439409418,0.1004907778512791,0.05202715828360985,0.0684634673447975,0.16262169363938256,0.05182718539714419,0.09188662646713051,0.07507984801227231,0.02695979090161157,0.035360779877279404,0.03868457980739817,0.027237057005343037,0.1335698133290955,0.021032351337201997,0.13093207291234146,0.10468097073805667,0.15285357820959872,0.03089892780940222,0.1607993308422355,0.05809924656532106,0.11409051771118411,0.027986454136003626,0.11359458124399648,0.153351387052615,0.07626141894488121,0.19392489782789835,0.1375644552659353,0.18022679306412465,0.19282557043312668,0.15068928249236338,0.13670629827497002,0.04794667654437347,0.02349727306092522,0.15581578040242117,0.1667223441754966,0.10435535506561232,0.1391628912627755,0.1451080737539543,0.0804499090650871,0.04702056914668764,0.030455168811816494,0.03301234940115886,0.048602434140546984,0.19767108726637073,0.17519446483837503,0.07921121337475107,0.09172640701417063,0.03825563743652044,0.022672732000595098,0.07017333277417243,0.0624532867823904,0.026227695928158788,0.0779566166207386,0.19981244376439208,0.16503816870072716,0.14058206591783828,0.07400563150327871,0.12408066912662934,0.16612949530735394,0.10123113466197027,0.15534527530606773,0.0704292014689811,0.06296790047155577,0.18365529174365938,0.14165080355657447,0.03454059702029929,0.034339124410615485,0.061181810160503794,0.10714160752593864,0.18247358339950634,0.14026108946111304,0.0684458806262346,0.18916028154048395,0.15291848977637,0.04071261351011173,0.059428646416003275,0.13958785078320873,0.05775618050661356,0.1811808274014485,0.14531286129005605,0.10474084787830368,0.180411456395775,0.09327940197150036,0.08747542269365302,0.05518578467597493,0.03547957851717255,0.057399727476824744,0.08010204939828558,0.1078493928096367,0.07350362236518798,0.12993560943923974,0.04586907865115364,0.15077054307206086
Lubricant_6,0.17499922797162676,0.08813172947402638,0.172308359757539,0.13355593488301493,0.13484505512796832,0.14949440952150456,0.059823262572418406,0.05688201311663882,0.023822252722789594,0.16260143160401758,0.19521675575786393,0.08054452048303985,0.04080462508625834,0.10694327661801627,0.17354148395916633,0.06409809013906316,0.18423833600214443,0.06377719292442052,0.13658789665461493,0.18302814963518166,0.03231444563491215,0.04685427440651898,0.047139820892485966,0.13752839964741573,0.08514091301182414,0.1975976474245648,0.1427453700576087,0.16973115977315004,0.08148696071609436,0.059562269234633855,0.08367499431917798,0.15517672331719312,0.061077058336007184,0.11973508399961623,0.12513483520655488,0.029247960096695235,0.17683939987799277,0.1917731333454607,0.042089638789735054,0.15304271873272504,0.113307269855852,0.14726633412075238,0.11980199000313274,0.023436122217616397,0.1205574250191407,0.1332219327893632,0.04593131664968891,0.1356562882080102,0.12797382484375283,0.14234343670878769,0.0623603079307604,0.050476594796570934,0.19417172420151385,0.17348767030578452,0.10921907097828194,0.05633380538167389,0.04658559876326482,0.07953930797673985,0.029111162205798652,0.16840040883993213,0.07800333006225589,0.1426789182476642,0.12397552810492417,0.12030241917831927,0.1310181049987635,0.1880263036613836,0.05422191898450589,0.09544602924666212,0.071970758458448,0.1319566526370607,0.05672247558508556,0.15216150562184838,0.1859755226337683,0.16890938462080513,0.1497243180467616,0.08431185055520175,0.19060469128110674,0.1893060470922131,0.19596740913565688,0.17603004467230568,0.14153219303815706,0.16900740570323664,0.0633409414136318,0.07855530846542766,0.06416870424778881,0.05700009823793252,0.19992238812520424,0.16456713349973692,0.047282182824786606,0.08533501225649961,0.07439409385714449,0.15328206950556578,0.0829614434642713,0.05167154266831134,0.0299309534085212,0.04635776781227095,0.05079876941730094,0.03716692587836906,0.1805700178600744,0.15972471430110521,0.1464482783040195,0.02361322133887134,0.1700474987463898,0.023208757903708625,0.06385440260619246,0.09736460346343935,0.07784894396395989,0.13714399945345995,0.050051791597375384,0.09233998725603998,0.041427944464373576,0.1294894667199286,0.1830367201947495,0.04987915348743677,0.16601139313686553,0.17659373606708248,0.15938029368738052,0.1873249091879562,0.04888267974699856,0.13216492080827733
Lubricant_7,0.12892894825087417,0.11630349743894554,0.17840471904589925,0.10083482522720034,0.08016690684692256,0.1066572076781547,0.13251249554364886,0.11920873952255785,0.05540445643166701,0.1881868345300812,0.0785825943218332,0.07222938788180926,0.08650054925958975,0.18837747424239498,0.08751980645892422,0.06758472092479519,0.12672734358698376,0.14279966574033132,0.11511280265343303,0.10526651912094442,0.038361356296828505,0.10078369237068549,0.17156445006231477,0.1729918550617315,0.18856148943002735,0.03738193772250065,0.07962946351774074,0.17619475740819782,0.18703791779232606,0.08700436539038223,0.18199205508369867,0.1683455552915043,0.10546083745018628,0.07322567071206366,0.1502360196271765,0.11636233551576027,0.17804784642167568,0.09987926862979227,0.06781381792381601,0.17064421805336705,0.04540478980502159,0.16870919725116812,0.18250794116983088,0.1942681754867864,0.19044978292788944,0.04095966419899419,0.15256757463288673,0.12121959896526961,0.17926050511644284,0.19459790942573457,0.052704686326372666,0.10243167795833222,0.14288323892801583,0.18718060682774298,0.06567258368679013,0.11963893103804303,0.05861138742122429,0.1716657300923943,0.09777311442692894,0.1539147772055454,0.11260346016407238,0.07042895611039433,0.04505208857664755,0.1497276530954339,0.03089651268716914,0.09319784641847358,0.16827121296488293,0.11127327115731232,0.1089109818605838,0.06260257299830714,0.12866130411207966,0.18773399992231862,0.07785315337291117,0.16770901173521846,0.14098883959925573,0.17536838147817937,0.17563394979166813,0.04171263515266094,0.027323132512891594,0.1326001896460462,0.053718467094293634,0.1704138725924466,0.09307103851992257,0.1552216995809125,0.188375423579704,0.15664092994816808,0.15095521288111352,0.18183439342740332,0.06065966220525229,0.08065886509748528,0.021362066102001084,0.08833702715918462,0.10231912600100104,0.09145230953789073,0.1478262426507894,0.11037400022791845,0.02066817723754648,0.10455330180174881,0.06982937772447256,0.037351918953613464,0.10852074979764809,0.029520886907035034,0.12946514423127095,0.0642793987126729,0.18013756937710257,0.19598970359735668,0.16805909854352785,0.030595450814994762,0.057277817373975776,0.09033877130312623,0.1601641146963216,0.12446347294869091,0.09613126583270092,0.13001163426156992,0.18288799054660726,0.10783492676414766,0.10538384504221718,0.16972958837887067,0.08574979712549906,0.11773108938385686
Lubricant_8,0.17490810661089745,0.11575537929989455,0.07132833924872639,0.1812553401870257,0.1574207940472307,0.15507916915521985,0.09002224189035443,0.07325520725833638,0.16274259350337836,0.11812005265075673,0.15553592501602995,0.1708753935458643,0.1415153540616736,0.09237419640749797,0.13824575388102875,0.17403210519647697,0.07185499034020523,0.1584146917302603,0.16574572383992192,0.04724611639252596,0.034903446753653825,0.06659075943824824,0.053744385844939666,0.05785527273789097,0.1570338395794715,0.08710026362061363,0.18683604359600273,0.026868011122022393,0.16187622276796038,0.1264680850497606,0.060357614257460515,0.17811838859411208,0.07664125191688988,0.06069471044143791,0.12045363218409158,0.18699391942453714,0.05624532103218828,0.08085250851241685,0.06211481527327263,0.12963577648614383,0.15634282195292923,0.08004712026660314,0.03773703839045939,0.15076984730066365,0.03335551774224748,0.13061007051668336,0.03182859961302764,0.10011316850215587,0.16895658392768503,0.17762123075520797,0.03309885924000922,0.07915004831351181,0.17082918082411389,0.15339895946111834,0.1281787946622146,0.12327775767744298,0.041469109865819864,0.16598684756116408,0.09829961493381686,0.09894577327750946,0.11182458384999336,0.11288250882678452,0.02513903067415711,0.07287916991822184,0.02037032669967012,0.17693398649771133,0.05769839891851061,0.19126332379932248,0.177371379609989,0.11119985413794677,0.07431683853622738,0.14152344683851875,0.04490168457498221,0.1987097024003407,0.0437986758670511,0.09766846623943085,0.1179130202386682,0.11983068213336195,0.06313853801994314,0.16983809935028515,0.12971291985611103,0.026879090910359144,0.19062748831562623,0.19179138074672092,0.08786684550932312,0.06681035839986448,0.07997545650660123,0.10736555695538005,0.18745998831931898,0.07669881574856396,0.15682042797063603,0.09242690977629685,0.1996241151107203,0.0926297017823102,0.12241834325410028,0.09068616833139638,0.05095864527923265,0.1730166416465816,0.14660337321179498,0.17092366417864133,0.15586400334801492,0.1475755513456609,0.19124978767102968,0.02730799059223473,0.17501381289816162,0.02057475614597384,0.10538740082811421,0.17504915575689003,0.07326194271395194,0.08196536539584307,0.024543423414481503,0.13265575218524672,0.030318396591023433,0.1598341720795524,0.03831068221851753,0.12246653396485892,0.180512582026587,0.11784711993581107,0.19502091286089668,0.1587753827394903
Lubricant_9,0.027122345418587768,0.04823831455347467,0.09291236314261817,0.15998445733017952,0.14236272432066321,0.047009280185120655,0.1837212073419618,0.0772557902674163,0.19030160044860972,0.05635967381085928,0.15711725302716834,0.1831400549774244,0.19149951116574968,0.1794097928606284,0.10877688651208266,0.0773401122453142,0.18581496226226474,0.17579581083998058,0.14431589827586547,0.16091681300633137,0.08301880284121574,0.1550014210742452,0.1678473175875665,0.19073980083421713,0.16616851876905023,0.06449646824831165,0.15650596004280162,0.19221573829228125,0.117276953747557,0.1925778686730247,0.17003301261201453,0.12742490216206803,0.03265030316530394,0.19098898869046385,0.07260370929622703,0.06655974782573516,0.049186312303351,0.04012930876519967,0.09967605695711443,0.1786288222758696,0.06181131526929787,0.14388316063385156,0.1638738658401401,0.0565998775383636,0.1522665702353624,0.19188439400712481,0.05741623852294939,0.14518851691732482,0.05875287106727661,0.050985134092831334,0.052976464943197146,0.11160489820029953,0.19963366952702036,0.19408336775792617,0.07499788353610115,0.03943354471827528,0.10011717522164089,0.14385927910988605,0.16273520400686917,0.06370070181664816,0.11710600872711448,0.023516179417898832,0.11070565333349507,0.04957124310659626,0.050423351278085726,0.07454659842321038,0.1295640760451501,0.18156993137311425,0.13912301626809126,0.03810609181911802,0.04889058060424678,0.1866765675033493,0.19204175290950598,0.07642275118984762,0.11670152328436846,0.033240055180632715,0.09530883190621729,0.08800883172779563,0.11693992868358073,0.025908423612063924,0.1067798417471299,0.19841518651636803,0.14831993433402824,0.16118997233677723,0.11358580047560678,0.056919851017064316,0.0361433031573306,0.12660783167004971,0.0547958219598436,0.04945870695323891,0.07341641755015524,0.08727043149965032,0.09017722588703762,0.0553030514176238,0.08958942458588674,0.05161022259332804,0.13831019948575238,0.06554834347108342,0.19209928287682884,0.07078888946302785,0.04296256114816996,0.19427448378421597,0.04704114635028417,0.145197996981542,0.1767196059396628,0.12776512401821571,0.05749716561831582,0.12160808791038,0.19264290755276792,0.02514853989576333,0.16370263216909936,0.05485005061175666,0.05207557066721709,0.044080856944942653,0.18717585099865408,0.08698185970410863,0.1824281418985695,0.1805902547644419,0.1428544448230873,0.14753884422879332
Lubricant_10,0.0237193547498753,0.1534815558773432,0.18192935560028126,0.13220967920639604,0.1083306925994728,0.036951719826619614,0.1448378762160731,0.16661294626756917,0.042080725057226626,0.07080967786273033,0.037117778550527336,0.035405404941558014,0.11631012266754878,0.05539678628181481,0.10725510271630806,0.08539208410822702,0.06534569619214242,0.10226077303520761,0.1991114441748767,0.14222886111877692,0.07900302234657267,0.1903176307873752,0.05726487265430079,0.038168420994260197,0.1815200648998144,0.15455445289359057,0.17125159944114413,0.1366921365977897,0.020566172156217453,0.04476710118840628,0.18972132789438945,0.04249904725419723,0.10221342905905538,0.18185613605995804,0.12470066823780912,0.021169846503533554,0.17448421506250633,0.02422111399287126,0.17182080035307826,0.13412827438221608,0.10027301552712449,0.18221221871131585,0.16294084986146054,0.195891073979672,0.1988780310044329,0.07997465456082545,0.18615670268075202,0.13538719331652466,0.15207593124260183,0.15079782633498126,0.09457402426035512,0.142738781624136,0.15971739721538855,0.15909844024984526,0.03668893828025539,0.12518656846938583,0.1911542504764344,0.020848028114066636,0.08459839036406948,0.08944763442979702,0.14991706758903858,0.061842566366039284,0.1513241280261829,0.12006128398251195,0.18747898353022507,0.13397458381994073,0.1688925408386744,0.0577880423715368,0.09787758841418091,0.10765540846774657,0.06027701280478279,0.09034923815633475,0.05795503874243797,0.027861525229861163,0.07065270358614346,0.054646647711884405,0.17312383329004719,0.0859818297924896,0.14078579710074884,0.15557702697682202,0.14687647254743588,0.10817569725783162,0.10865792918743267,0.04528000538579684,0.031246503712302066,0.17176728415038814,0.10449503596194516,0.03629518613782018,0.12659906483291494,0.1528332156204625,0.06882636792364875,0.1116025992807758,0.13977946354130827,0.1570776536360013,0.1671784134452397,0.1983353836959295,0.1929151253507681,0.134831720269451,0.1522024129452259,0.08644793095742688,0.027474208036431025,0.07771092259165122,0.03847500759701869,0.15465223541483758,0.19425795586515385,0.102711232984378,0.03553480421422914,0.13173819559687916,0.05967440267455372,0.04968252879478799,0.07647332810900741,0.08863831574383076,0.17151083670102157,0.1719004267566611,0.14167329529068245,0.11818181051628276,0.03432083862306598,0.07949469906790066,0.1632314758591014,0.11479959238613704
