Welder_ID,Safety_Rating,Speed_Rating,SMAW_Proficient,GMAW_Proficient,FCAW_Proficient,GTAW_Proficient,Experience_10_Years
1,2,1,1,0,1,0,0
2,4,2,0,1,0,0,1
3,4,1,1,0,0,0,0
4,3,2,1,1,1,0,1
5,2,4,1,0,0,0,0
6,1,2,1,0,1,0,1
7,1,4,1,1,1,1,1
8,4,4,0,1,1,1,0
9,1,1,0,1,0,1,0
10,4,3,0,1,1,1,1
11,2,4,1,1,1,0,0
12,1,1,0,0,1,0,1
13,3,2,0,0,1,1,1
14,4,2,1,0,1,1,1
15,1,2,0,1,1,1,0
16,1,2,0,0,1,0,1
17,3,3,0,0,0,1,1
18,4,1,0,1,0,0,0
19,1,4,1,0,0,0,1
20,4,3,0,1,0,1,1
21,1,4,1,0,0,1,0
22,3,4,0,1,0,0,1
23,2,3,1,0,1,0,0
24,3,1,1,1,0,1,1
25,1,4,0,0,1,0,0
26,2,4,1,1,0,0,0
27,1,2,1,0,0,0,0
28,2,4,1,1,0,0,1
29,1,4,1,0,1,1,0
30,4,2,1,0,1,1,0
31,2,2,1,1,1,1,0
32,2,1,1,0,1,0,0
33,1,1,0,1,1,1,0
34,2,3,0,1,1,1,1
35,4,2,1,0,1,0,0
36,4,3,1,0,1,0,0
37,3,4,1,1,0,0,1
38,4,1,1,1,0,0,1
39,4,4,0,1,0,1,1
40,3,1,0,0,1,1,1
41,1,3,0,0,0,0,1
42,3,3,0,1,1,1,1
43,4,4,0,1,1,0,1
44,2,1,0,0,0,0,1
45,2,3,1,0,1,1,0
46,2,1,0,1,0,0,1
47,1,3,0,0,1,0,1
48,4,3,0,0,1,1,0
49,2,4,0,0,0,1,1
50,3,3,0,0,0,0,0
51,1,1,1,1,1,1,0
52,4,3,0,0,1,0,0
53,4,2,1,0,1,1,0
54,3,3,1,0,0,1,1
55,3,4,0,1,0,0,0
56,1,3,0,0,0,0,1
57,3,1,1,0,0,0,1
58,2,3,0,1,1,0,0
